0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:51:04 +0400] "GET /Shop/img/it8.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:51:04 +0400] "GET /Shop/img/facebook.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:51:04 +0400] "GET /Shop/img/pinterest.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:51:04 +0400] "GET /Shop/img/Google.png HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:51:05 +0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/main HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/css/index.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/ico1.png HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/ico2.png HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/forman.png HTTP/1.1" 200 650663
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/forwom.png HTTP/1.1" 200 603841
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it1.png HTTP/1.1" 200 113367
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it3.png HTTP/1.1" 200 95037
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it4.png HTTP/1.1" 200 83463
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it2.png HTTP/1.1" 200 96340
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it5.png HTTP/1.1" 200 98843
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it6.png HTTP/1.1" 200 75114
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it7.png HTTP/1.1" 200 95161
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/it8.png HTTP/1.1" 200 67348
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/Google.png HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/pinterest.png HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /Shop/img/facebook.png HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:52:31 +0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:53:23 +0400] "GET /Shop/main HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:53:23 +0400] "GET /Shop/css/index.css HTTP/1.1" 200 5815
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:53:23 +0400] "GET /Shop/img/backgr1.png HTTP/1.1" 200 1576040
0:0:0:0:0:0:0:1 - - [27/Mar/2018:23:53:24 +0400] "GET /favicon.ico HTTP/1.1" 200 21630
